file,spectral_flatness,spectral_entropy,correlation_peak,power_variance,burst_count,burst_dur_mean_ms,burst_dur_std_ms,duty_cycle,micro_doppler_mean,micro_doppler_std,blade_rate_hz,doppler_mean_hz,doppler_std_hz,range_peak_bin,range_peak_power
10100H_0_processed.npy,0.10215536504983902,20.281940460205078,0.05797288939356804,65.29092407226562,3674,4.991017964071857e-05,3.439290082936016e-05,0.003667399985715747,9022.8701171875,8827.568359375,200.32051282051282,3218094.5,24667684.0,768.0,35.4836540222168
10100H_10_processed.npy,0.047820184379816055,19.78291130065918,0.05708787590265274,81.80138397216797,3190,5.514420062695925e-05,3.9357232440355066e-05,0.0035182000137865543,7600.1884765625,919.0428466796875,200.32051282051282,2990981.75,24657836.0,768.0,34.430824279785156
10100H_11_processed.npy,0.05977286025881767,19.8552188873291,0.05093798041343689,66.13799285888672,2667,4.540307461567304e-05,3.103417866667116e-05,0.002421800047159195,8788.822265625,996.21875,200.32051282051282,2909840.75,24659086.0,768.0,40.04468536376953
10100H_12_processed.npy,0.09429875761270523,20.22536849975586,0.21190595626831055,67.61129760742188,3399,5.560458958517211e-05,4.102085294227008e-05,0.0037799999117851257,7428.6455078125,241.0877685546875,200.32051282051282,2945644.25,24758214.0,768.0,34.531822204589844
10100H_13_processed.npy,0.15417979657649994,20.61745262145996,0.21490679681301117,50.61267852783203,5625,5.196444444444444e-05,3.617978045235e-05,0.00584599981084466,9647.36328125,14705.4228515625,200.32051282051282,2862308.25,24703740.0,768.0,29.658594131469727
10100H_14_processed.npy,0.0783330425620079,20.033309936523438,0.05034809187054634,68.50506591796875,3066,5.395955642530985e-05,3.921244837172084e-05,0.0033088000491261482,8570.2958984375,553.2931518554688,200.32051282051282,3024807.5,24579218.0,768.0,39.25301742553711
10100H_15_processed.npy,0.19022837281227112,20.707706451416016,0.12789642810821533,1.5647661685943604,12679,3.281567946998975e-05,0.00012401214046281537,0.008321399800479412,16093.255859375,2788.031005859375,200.32051282051282,2973277.25,24837064.0,768.0,71.3477783203125
10100H_16_processed.npy,0.0674024149775505,19.9780330657959,0.0665254071354866,71.66535186767578,3148,5.494599745870394e-05,3.8251536662491414e-05,0.0034594000317156315,8209.06640625,295.1201171875,200.32051282051282,2908744.25,24721126.0,768.0,38.05550765991211
10100H_17_processed.npy,0.1481737345457077,20.647785186767578,0.0765802189707756,54.219825744628906,5877,4.6978050025523224e-05,3.065817116177571e-05,0.005521799903362989,7856.43603515625,8834.40234375,200.32051282051282,2897058.0,24635326.0,768.0,31.799007415771484
10100H_18_processed.npy,0.12457966059446335,20.482635498046875,0.08855681121349335,57.959556579589844,4004,3.5909090909090915e-05,2.2997148919253292e-05,0.0028756000101566315,10050.9208984375,13725.14453125,200.32051282051282,3043282.0,24626198.0,768.0,35.24266052246094
